time,S_I,S_S,X_I,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2,X_INORG
0.025025,0.000000,-52.662598,0.000000,-3510.708496,1774.260498,53.708992,132.557693,0.000000,269.595673,-420.612976,3.539551,-65.271790,-0.049301,47.590698,0.000000
0.025275,0.000000,-52.814941,0.000000,-3502.374023,1768.673950,53.602497,132.579865,0.000000,269.191162,-419.491211,3.566086,-65.496460,-0.049192,47.559883,0.000000
0.025526,0.000000,-52.976562,0.000000,-3493.988525,1763.060547,53.494450,132.601913,0.000000,268.781219,-418.359222,3.589249,-65.719147,-0.049081,47.528042,0.000000
0.025776,0.000000,-53.139648,0.000000,-3485.553467,1757.414795,53.384796,132.623917,0.000000,268.365570,-417.216583,3.609314,-65.939606,-0.048970,47.495094,0.000000
0.026026,0.000000,-53.312500,0.000000,-3477.068359,1751.742310,53.273529,132.645844,0.000000,267.944214,-416.063599,3.626404,-66.158295,-0.048858,47.461174,0.000000
0.026276,0.000000,-53.491699,0.000000,-3468.531982,1746.040039,53.160572,132.667740,0.000000,267.516846,-414.899994,3.640518,-66.374893,-0.048744,47.426239,0.000000
0.026527,0.000000,-53.672852,0.000000,-3459.946777,1740.306885,53.045898,132.689529,0.000000,267.083313,-413.725708,3.651947,-66.589478,-0.048629,47.390270,0.000000
0.026777,0.000000,-53.861328,0.000000,-3451.309570,1734.543579,52.929474,132.711288,0.000000,266.643494,-412.540955,3.660690,-66.801941,-0.048513,47.353313,0.000000
0.027027,0.000000,-54.050781,0.000000,-3442.623047,1728.748901,52.811230,132.732971,0.000000,266.197052,-411.345154,3.667007,-67.012436,-0.048396,47.315357,0.000000
0.027277,0.000000,-54.244629,0.000000,-3433.885254,1722.922607,52.691162,132.754639,0.000000,265.743988,-410.138611,3.670944,-67.220825,-0.048277,47.276409,0.000000
0.027528,0.000000,-54.442383,0.000000,-3425.097168,1717.066406,52.569141,132.775986,0.000000,265.283630,-408.920898,3.672073,-67.426514,-0.048157,47.236465,0.000000
0.027778,0.000000,-54.641113,0.000000,-3416.259277,1711.177368,52.445202,132.797424,0.000000,264.816345,-407.692200,3.671341,-67.630432,-0.048036,47.195560,0.000000
0.028028,0.000000,-54.842773,0.000000,-3407.370117,1705.256226,52.319267,132.818787,0.000000,264.341675,-406.452271,3.668427,-67.832123,-0.047914,47.153687,0.000000
0.028278,0.000000,-55.045898,0.000000,-3398.430176,1699.302490,52.191303,132.840103,0.000000,263.859497,-405.201080,3.663422,-68.031570,-0.047790,47.110851,0.000000
0.028529,0.000000,-55.249512,0.000000,-3389.439941,1693.315796,52.061234,132.861328,0.000000,263.369507,-403.938385,3.656448,-68.228729,-0.047665,47.067059,0.000000
